Stocks,Sub-Sector,Market Cap,Close Price,PE Ratio,5Y CAGR,Beta,Alpha,5Y HISREVGTH
UGROCAP,Investment Banking & Brokerage,1454.30,206.20,50.62,47.79,-,-,109.72
SVPGLOB,Textiles,1453.49,114.90,58.47,-4.02,-,-,-4.47
HSIL,Building Products - Ceramics,1453.10,224.60,16.50,-5.46,1.29,40.32,-1.21
ELECTCAST,Building Products - Pipes,1452.56,33.55,-9.96,9.46,1.29,12.70,9.58
KOTAKNIFTY,Equity,1449.72,187.57,-,-25.50,1.00,1.80,-
NRBBEARING,Industrial Machinery,1443.18,148.90,26.70,5.84,1.32,-20.18,2.77
DYNAMATECH,Auto Parts,1431.49,2257.35,-65.45,-5.21,1.65,9.16,-5.59
SJS,Auto Parts,1429.52,469.65,29.92,-,-,-,7.65
UNICHEMLAB,Pharmaceuticals,1428.18,202.85,41.60,-4.97,0.34,-3.50,-1.00
TARC,Real Estate,1422.36,48.20,230.90,-,-,-,-
FMGOETZE,Auto Parts,1421.68,255.55,2632.74,-12.89,1.01,-25.22,-3.71
ASTAR,-,1420.60,887.50,22.21,7.09,0.47,25.71,-4.95
HONDAPOWER,Industrial Machinery,1419.98,1399.95,29.18,-0.53,0.83,2.38,6.86
POWERMECH,Construction & Engineering,1419.22,964.75,-31.10,17.18,1.47,-7.05,6.55
GALLISPAT,Iron & Steel,1410.39,49.95,11.43,-0.80,1.12,18.52,13.63
JSWISPL,Iron & Steel,1403.95,29.90,6.67,6.82,1.32,3.31,18.91
3IINFOLTD,IT Services & Consulting,1393.74,85.10,3.56,74.56,1.59,74.69,-10.16
GRAVITA,Metals - Lead,1392.74,201.70,26.54,41.79,1.73,30.66,26.62
LUMAXIND,Auto Parts,1386.32,1483.05,76.38,14.16,1.21,-15.05,2.90
HBLPOWER,Batteries,1370.73,49.45,99.91,5.63,1.64,19.99,-6.77
EXPLEOSOL,Software Services,1364.61,1331.00,27.06,14.15,1.26,35.70,2.51
AFLPP,-,1360.38,66.95,-,-,-,-,-
FCONSUMER,FMCG - Foods,1358.75,6.85,-2.81,-19.25,1.63,-58.65,-6.96
SUNFLAG,Iron & Steel,1357.95,75.35,9.66,17.11,1.19,-5.39,3.88
CHEMCON,Specialty Chemicals,1354.42,369.75,24.01,-,-,-,20.68
KKCL,Apparel & Accessories,1343.92,1090.40,67.87,-9.29,1.01,-14.12,-7.54
PARAGMILK,FMCG - Foods,1343.75,141.15,64.92,-11.90,1.22,-24.60,2.41
FCL,Specialty Chemicals,1331.20,120.20,31.26,34.61,2.41,25.72,16.06
DWARKESH,Sugar,1327.53,70.50,14.50,22.51,1.10,33.45,17.97
BANCOINDIA,Auto Parts,1323.45,185.05,11.64,1.16,1.39,-7.57,4.87
NACLIND,Fertilizers & Agro Chemicals,1322.37,66.85,25.93,-,1.27,30.43,11.18
WONDERLA,Theme Parks & Gaming,1320.09,233.45,-26.44,-7.12,1.08,-20.00,-27.51
JKIL,Construction & Engineering,1317.34,174.10,20.61,-0.99,1.63,-4.13,11.17
GMBREW,Alcoholic Beverages,1310.59,717.05,16.36,14.63,0.99,-7.55,-11.94
ITDCEM,Construction & Engineering,1309.02,76.20,83.11,-11.91,1.65,-18.64,-1.33
INSECTICID,Fertilizers & Agro Chemicals,1306.74,662.25,13.91,7.31,1.12,0.68,7.63
NXTDIGITAL,Movies & TV Serials,1296.02,384.90,-44.46,-2.95,1.09,-1.24,6.91
OMAXE,Real Estate,1295.85,70.85,-5.51,-14.73,-0.07,-21.10,-18.60
JTLINFRA,-,1294.37,244.05,64.56,81.77,1.91,86.52,35.54
SUTLEJTEX,Textiles,1290.97,78.80,-352.72,0.35,1.10,9.85,-1.90
SHIVALIK,-,1284.98,886.85,73.05,30.84,1.61,32.56,12.33
QUICKHEAL,IT Services & Consulting,1284.85,221.90,12.01,-0.99,1.30,-2.15,2.74
SHANKARA,Building Products - Pipes,1282.53,561.30,92.60,-,1.27,-12.19,0.08
SIRCA,Paints,1279.65,466.95,77.13,-,0.98,40.79,16.71
MPSLTD,Publishing,1278.95,708.55,21.84,1.91,1.21,5.55,9.43
BFINVEST,Asset Management,1273.73,338.15,4.77,21.88,0.94,3.10,-18.10
GIPCL,Power Generation,1272.78,84.15,6.94,-2.70,1.07,-6.61,-0.33
MOLDTEKPP,-,1265.60,388.50,-,-,-,-,-
VINDHYATEL,Telecom Equipments,1264.07,1066.65,4.68,12.50,1.67,-26.39,10.74
ALICON,Auto Parts,1260.03,782.05,-652.86,15.70,1.49,-0.80,2.51
MONTECARLO,Apparel & Accessories,1255.33,605.50,18.94,8.21,1.61,10.95,0.21
YASHO,-,1252.75,1149.40,58.32,-,0.68,105.23,15.46
TRANSPEK,-,1246.98,2232.50,53.52,36.56,0.77,13.24,4.40
TDPOWERSYS,Heavy Electrical Equipments,1246.67,403.25,27.58,18.80,1.38,30.17,2.97
GULPOLY,Specialty Chemicals,1241.46,265.05,19.88,28.97,1.56,45.03,11.49
SUVEN,Pharmaceuticals,1241.00,97.50,-17.20,-10.53,1.89,70.47,-47.23
PFS,Specialized Finance,1236.40,19.25,48.28,-12.44,1.64,-3.79,-0.81
RAMCOSYS,IT Services & Consulting,1231.80,400.65,22.09,2.02,1.56,8.91,7.63
INDORAMA,Textiles,1231.15,47.15,10.86,10.67,1.68,39.91,-3.26
PRAKASH,Iron & Steel,1224.02,68.35,12.84,7.50,2.29,-17.07,10.09
SHANTIGEAR,Auto Parts,1222.08,159.30,60.59,8.66,1.09,4.46,5.16
5PAISA,Diversified Financials,1201.31,408.45,81.83,-,1.55,39.64,-
PNBGILTS,Investment Banking & Brokerage,1191.67,66.20,2.62,9.29,1.06,17.67,25.13
UDAICEMENT,-,1181.80,37.95,21.49,15.71,1.41,28.34,52.03
MTNL,Telecom Services,1181.25,18.75,-0.48,2.16,1.39,20.09,-14.54
CLNINDIA,Specialty Chemicals,1162.05,503.45,5.29,-6.55,1.57,6.21,-3.47
AVTNPL,Agro Products,1161.93,76.30,25.65,20.49,1.06,21.23,12.33
AMBIKCO,Textiles,1158.34,2023.30,17.05,15.36,1.10,9.39,5.10
ELPROINTL,-,1157.54,68.30,58.64,8.18,0.78,5.67,11.77
ONMOBILE,Software Services,1155.51,109.70,25.13,4.82,2.21,42.43,-7.72
PRECAM,Auto Parts,1148.38,120.90,503.67,-4.57,1.24,16.24,9.62
EIHAHOTELS,"Hotels, Resorts & Cruise Lines",1147.89,376.75,-42.93,6.23,1.00,-0.34,-15.92
CAPACITE,Construction & Engineering,1146.35,168.85,744.38,-,1.77,-19.86,1.10
KINGFA,Commodity Chemicals,1142.92,943.75,214.43,1.14,1.29,2.83,14.98
GANESHHOUC,Real Estate,1141.25,220.80,-10.84,28.67,1.67,55.96,-11.23
ANDREWYU,Tea & Coffee,1139.26,23.30,32.43,1.72,-,-,-2.43
SHAKTIPUMP,Industrial Machinery,1139.11,619.75,15.07,37.02,1.82,6.00,27.87
KITEX,Apparel & Accessories,1137.48,171.05,20.96,-8.60,0.90,2.50,-4.06
ANDHRAPET,-,1133.10,133.35,14.82,45.43,1.45,26.09,10.73
BHAGERIA,Specialty Chemicals,1130.38,259.00,18.04,10.24,1.32,9.45,11.08
ULTRAMAR,-,1129.02,386.65,20.24,19.60,0.94,8.85,7.13
XCHANGING,IT Services & Consulting,1128.52,101.30,18.07,12.51,1.05,22.52,18.79
EXCELINDUS,Fertilizers & Agro Chemicals,1127.78,897.15,15.86,18.75,1.52,-27.34,10.92
DCW,Commodity Chemicals,1123.74,43.05,295.72,8.37,1.68,18.30,3.10
RAGHUSYN,-,1121.42,289.40,190.07,137.87,1.26,152.87,32.92
GOKEX,Apparel & Accessories,1120.97,257.75,42.32,37.47,1.36,34.81,0.03
SMSPHARMA,Pharmaceuticals,1118.68,132.15,17.90,8.02,1.49,13.43,-1.63
GANECOS,Textiles,1115.70,511.10,25.63,23.65,1.57,11.10,3.23
TWL,Rail,1112.11,93.05,-74.14,-1.67,1.81,-0.44,9.10
PANACEABIO,Biotechnology,1110.17,181.25,-7.52,11.40,1.12,18.56,-2.57
AJMERA,Real Estate,1100.39,310.10,36.46,24.98,1.89,15.39,1.59
SHREDIGCEM,Cement,1095.45,76.20,20.30,-,-,76.36,1.13
SANGAMIND,Textiles,1092.49,251.60,259.50,0.49,1.48,42.67,-2.19
ESTER,Commodity Chemicals,1089.96,130.70,7.93,27.07,1.41,43.81,5.21
PATELENG,Construction & Engineering,1088.28,23.35,-3.74,-18.71,1.93,-14.32,-12.43
PGEL,Electronic Equipments,1079.07,516.55,92.86,31.78,1.98,57.74,21.82
TI,Alcoholic Beverages,1075.93,76.70,-28.03,40.22,0.67,70.66,3.97
BLACKROSE,-,1074.32,210.65,39.15,55.59,0.69,45.44,16.45
PCJEWELLER,"Precious Metals, Jewellery & Watches",1072.75,23.05,17.30,-33.30,1.33,-30.35,-17.27
NATPEROX,-,1070.61,1862.90,50.55,16.78,1.60,-34.66,-1.21
SESHAPAPER,Paper Products,1066.80,169.15,10.03,6.02,1.12,-20.51,-4.75
FLFL,Retail - Apparel,1063.45,52.80,-1.14,-14.43,1.43,-62.52,-7.84
BBL,Heavy Electrical Equipments,1060.40,1876.30,40.68,19.98,1.11,5.59,2.79
SPAL,Apparel & Accessories,1057.25,411.50,24.50,6.33,1.82,11.12,3.98
KARDA,Real Estate,1048.58,17.05,51.78,-,0.69,58.57,3.93
KMCSHIL,-,1045.37,64.10,81.73,46.34,0.73,62.45,19.17
BLISSGVS,Pharmaceuticals,1044.92,100.95,15.25,-4.77,0.53,-13.72,0.90
MANGLMCEM,Cement,1041.46,390.15,9.56,8.44,1.31,7.57,9.43
RSWM,Textiles,1037.18,440.40,49.74,0.17,0.97,21.33,-4.40
SMLISUZU,Trucks & Buses,1031.68,712.90,-7.73,-7.78,1.54,-13.35,-12.66
RPGLIFE,Pharmaceuticals,1031.54,623.70,25.79,6.34,1.12,21.75,6.85
JETAIRWAYS,Airlines,1030.35,90.70,-6.78,-24.10,2.63,-12.63,-57.00
VSSL,Iron & Steel,1029.49,254.15,23.29,23.43,1.32,32.80,7.71
ASALCBR,Alcoholic Beverages,1027.17,568.15,17.72,-24.76,-,-,8.85
MIRZAINT,Footwear,1025.01,85.20,122.32,3.15,1.09,-7.06,2.49
VISHNU,Diversified Chemicals,1017.08,851.40,29.49,28.06,2.32,58.16,7.17
PIXTRANS,-,1016.97,746.45,15.67,59.28,1.54,34.42,11.25
KOPRAN,Pharmaceuticals,1016.39,235.00,16.50,37.48,1.03,65.51,11.28
RAMKY,Construction & Engineering,1012.71,146.35,51.75,19.97,2.12,7.45,-13.46
MMWL,-,1011.54,8.93,258.05,3.52,0.14,35.68,51.70
OCCL,Commodity Chemicals,1011.35,1012.35,12.80,5.99,1.27,-15.74,4.06
THEJO,Construction & Engineering,1011.00,950.00,36.91,70.99,0.18,67.34,13.41
CANTABIL,Apparel & Accessories,1007.01,616.75,104.35,59.60,0.83,52.64,11.56
IFGLEXPOR,Industrial Machinery,1006.04,279.15,15.34,12.81,1.48,-1.21,86.20
ANUP,Textiles,1001.50,1013.55,18.72,-,-,18.56,-
INFOBEAN,Software Services,1000.74,415.15,27.17,-,1.03,68.20,21.41
NCLIND,Cement,998.06,220.65,6.86,15.45,1.36,9.24,18.29
VHL,Diversified Financials,994.99,3117.60,7.68,13.20,1.37,0.47,-3.69
RIIL,Oil & Gas - Storage & Transportation,992.75,657.45,103.09,13.03,1.60,10.71,-8.76
VISAKAIND,Cement,991.91,601.85,8.97,27.73,1.42,-0.75,2.77
SPENCERS,Retail - Department Stores,986.08,109.55,-6.02,-,-,-19.13,-
DBREALTY,Real Estate,980.33,40.30,-5.78,0.40,1.70,40.34,-2.77
SAKSOFT,IT Services & Consulting,974.49,973.85,21.44,43.02,0.99,45.36,9.66
AVL,-,973.53,809.35,39.45,-,1.69,-,25.51
LUMAXTECH,Auto Parts,972.95,142.75,20.64,11.79,1.65,-25.37,4.31
ZOTA,Pharmaceuticals,969.43,385.30,-4616.32,10.00,1.07,23.43,10.97
TEXRAIL,Rail,965.61,30.00,68.24,-19.41,1.35,-31.07,8.37
SPIC,Fertilizers & Agro Chemicals,963.22,47.30,13.00,19.09,1.63,10.61,-4.48
MISHTANN,-,962.50,19.25,1336.81,49.24,-,19.73,23.77
INDIANHUME,Water Management,960.71,198.30,22.86,-11.73,1.34,-25.27,6.14
ADORWELD,Industrial Machinery,960.16,706.00,-92.50,19.80,1.13,12.21,1.92
SUULD,Apparel & Accessories,958.66,341.55,2.36,-,-,139.88,116.07
DIGISPICE,Telecom Equipments,955.93,41.65,83.41,24.36,2.13,59.08,-3.37
CIFL,-,950.69,122.30,98.82,43.93,0.59,8.07,138.31
IMPAL,Auto Parts,949.04,760.45,17.94,8.94,0.61,4.24,1.70
WPIL,-,948.14,970.75,11.26,23.44,1.74,-3.43,6.84
PACL,-,945.62,195.10,114.90,70.73,0.35,53.35,2.69
DREDGECORP,Dredging,945.42,337.65,-5.48,-2.41,2.17,-10.06,2.07
CEREBRAINT,Technology Hardware,944.65,77.95,555.68,33.99,1.24,29.64,-21.88
ASHAPURMIN,Metals - Diversified,944.59,103.25,10.80,12.62,1.24,47.41,-7.17
WENDT,Industrial Machinery,940.20,4701.00,73.68,22.21,1.27,8.28,0.49
ENIL,Radio,939.35,197.05,-8.50,-22.54,0.93,-48.60,-11.74
TNPETRO,Commodity Chemicals,937.50,104.20,7.43,33.47,1.09,30.92,8.89
FOSECOIND,Specialty Chemicals,936.10,1465.75,60.67,2.18,0.83,-3.69,-2.63
TTKHLTCARE,Pharmaceuticals,931.05,658.90,20.04,-6.29,1.15,-9.04,4.53
ANDHRAPAP,Paper Products,917.69,230.75,-199.93,-4.78,1.38,-39.08,-5.01
TNPL,Paper Products,917.04,132.50,-14.08,-16.55,1.42,-32.54,3.58
ARVSMART,Real Estate,915.81,215.95,104.66,24.67,1.02,18.31,5.34
UNIDT,-,913.13,449.75,27.93,-,-,-,32.14
PROINDIA,Commodities Trading,912.91,88.55,72.11,114.50,1.24,204.72,83.55
IWEL,Heavy Electrical Equipments,912.74,830.90,-5.30,-,-,-,-
BAJAJHCARE,-,911.58,330.30,10.97,44.32,0.50,43.11,24.36
BLIL,-,909.20,409.60,11.40,3.86,0.74,-3.93,112.21
APEX,Packaged Foods & Meats,908.13,290.60,20.51,-,1.29,-17.90,6.31
DECCANCE,Cement,907.76,648.05,7.89,9.46,0.84,9.51,2.88
CENTENKA,Textiles,907.35,415.25,12.79,8.96,1.19,4.97,1.55
SHRJAGP,-,906.19,1034.70,22.15,13.04,1.21,60.21,15.01
TAJGVK,"Hotels, Resorts & Cruise Lines",902.59,143.95,-22.58,8.09,1.28,-17.53,-18.67
EMAMIPAP,Paper Products,899.92,148.75,17.62,-,-,11.64,19.15
SANGHVIMOV,Business Support Services,898.44,207.55,-40.07,-0.66,1.59,13.25,-13.98
SATIA,Paper Products,891.50,89.15,17.99,-,-,2.12,5.82
SRIPIPES,Building Products - Pipes,890.30,190.65,8.59,-6.71,1.43,-10.72,5.99
AARTISURF,Specialty Chemicals,877.87,1157.45,40.57,-,-,-,-
DVL,Commodity Chemicals,871.07,248.70,3.75,27.68,1.46,24.91,69.75
AVADHSUGAR,Sugar,869.50,434.35,11.21,-,0.85,23.83,-
SMCGLOBAL,-,868.87,76.80,8.69,-,-,-,16.17
XPROINDIA,Plastic Products,868.12,734.85,104.22,74.09,1.30,112.08,6.15
NIYOGIN,-,865.97,92.00,-125.14,50.26,1.26,17.59,240.88
KICL,Asset Management,864.53,1980.45,25.00,10.83,0.96,-1.51,5.43
AWHCL,Wellness Services,864.17,305.50,19.19,-,-,-,16.61
GENESYS,IT Services & Consulting,864.02,276.70,-20.13,23.39,1.48,36.49,8.99
THEMISMED,Pharmaceuticals,861.21,936.15,24.12,10.69,1.50,31.37,0.68
INDNIPPON,Auto Parts,860.97,380.60,21.73,8.01,1.47,-17.02,7.73
STYLAMIND,Construction & Engineering,858.72,1013.35,15.58,34.47,-,-,12.53
GOKULAGRO,Packaged Foods & Meats,856.29,59.85,19.16,26.33,1.50,52.47,18.15
RAJPALAYAM,-,853.93,992.30,8.44,11.97,0.75,5.99,0.92
LSIL,Industrial Machinery,853.76,9.50,1674.05,41.92,0.93,99.52,-7.82
KPL,-,852.66,821.75,56.24,69.52,0.87,-,28.74
RANEHOLDIN,Auto Parts,851.17,596.15,-16.83,-4.57,1.53,-34.81,-4.61
BMW,-,850.83,37.80,-4.84,-,-,20.36,-9.61
DHANVARSHA,-,850.60,110.70,654.31,-,1.37,86.65,75.22
GICHSGFIN,Home Financing,848.69,157.60,8.04,-10.67,1.52,-23.35,7.19
UNIENTER,Fertilizers & Agro Chemicals,847.07,121.80,34.64,16.96,1.23,-3.89,14.79
JAYBARMARU,Auto Parts,845.87,195.35,32.24,8.07,1.77,-2.29,2.87
KDDL,"Precious Metals, Jewellery & Watches",843.51,662.25,149.03,26.06,1.56,13.27,4.54
NSIL,Asset Management,843.18,1641.65,19.61,17.75,0.56,19.83,17.95
ARMANFIN,Consumer Finance,842.11,991.70,79.44,39.24,1.51,25.86,36.56
HDFCNIFETF,Equity,840.85,189.90,-,18.32,0.97,3.32,-
APCL,Cement,838.09,331.45,9.86,-,0.95,24.24,8.62
GFLLIMITED,Specialty Chemicals,837.61,76.25,-3.61,-31.31,1.09,-2.70,-53.43
SADHNANIQ,-,828.44,42.35,52.01,103.96,0.97,14.26,24.54
RADIOCITY,Radio,821.00,23.75,-33.94,-,0.70,-27.33,-9.92
KABRAEXTRU,Industrial Machinery,817.98,256.40,33.32,19.45,1.40,34.75,-2.90
RPEL,-,812.68,747.20,88.91,56.34,0.40,92.79,6.90
PGIL,Apparel & Accessories,808.06,373.00,46.76,20.45,0.80,31.61,1.63
VIMTALABS,Labs & Life Sciences Services,806.49,364.80,37.69,30.17,1.48,10.53,8.75
FERMENTA,-,802.10,278.05,17.62,33.90,0.66,2.28,19.73
DCMSRMIND,-,799.46,91.90,12.35,13.59,0.56,22.19,9.83
MANGCHEFER,Fertilizers & Agro Chemicals,799.02,67.40,11.91,9.64,1.11,11.39,-6.11
DISAQ,-,793.57,5457.05,32.86,5.63,0.64,-8.09,5.41
DHARAMSI,-,790.72,317.05,24.27,30.90,1.42,24.62,13.99
ARSHIYA,Logistics,788.14,30.05,-2.14,3.18,2.14,0.73,-2.49
RCOM,Telecom Services,782.11,2.85,-0.14,-40.56,1.91,-21.25,-50.78
INDOAMIN,-,780.85,220.90,20.77,24.96,1.92,23.08,16.71
SKIPPER,Power Infrastructure,780.81,76.05,36.42,-10.66,1.56,-19.01,0.97
SYNCOMF,-,779.33,9.39,26.71,34.54,1.55,84.97,6.20
ORIRAIL,-,777.55,144.25,50.42,-16.28,1.55,35.84,20.42
GUJTHEM,-,775.98,534.10,25.71,63.30,0.54,100.57,23.40
QUINT,-,772.67,352.00,-417.66,118.30,-0.25,154.05,120.31
COFFEEDAY,Restaurants & Cafes,772.13,36.55,-1.32,-29.36,0.64,-74.74,-20.48
REPRO,Stationery,769.32,605.10,-17.73,9.18,1.25,-7.57,-18.61
CHEVIOT,-,768.16,1225.75,10.14,8.50,1.25,17.73,4.40
ASIANTILES,Building Products - Granite,767.85,135.30,13.48,-3.92,1.31,-11.42,5.45
JUBLINDS,Alcoholic Beverages,766.89,510.20,-82.46,15.45,1.25,58.75,0.58
VLSFINANCE,Investment Banking & Brokerage,761.45,196.95,3.44,30.87,1.73,34.95,-34.97
HEXATRADEX,Commodities Trading,761.27,137.80,79.88,55.00,2.27,65.49,-54.04
MEDICAMEQ,Pharmaceuticals,760.48,622.50,62.69,20.62,-,-,10.79
ALLSEC,IT Services & Consulting,759.10,498.15,21.61,10.68,1.87,22.75,2.86
TIMEX,-,755.61,74.85,-94.33,8.15,1.51,8.65,-3.90
SADBHAV,Construction & Engineering,752.34,43.85,-4.86,-31.09,2.28,-54.98,-8.89
YUKEN,Industrial Machinery,751.14,625.95,142.53,47.39,-,-,2.23
SUMMITSEC,Asset Management,748.13,686.25,40.88,11.86,1.25,3.05,-11.48
SALASAR,Iron & Steel,747.69,261.70,25.22,-,1.17,31.17,14.36
ZEEMEDIA,TV Channels & Broadcasters,744.26,11.90,9.83,-18.89,1.35,-12.24,3.39
GLOBUSCON,-,744.09,75.20,-32.13,38.42,1.52,-,-
HITECH,Building Products - Pipes,741.95,607.60,32.54,42.61,1.63,30.29,21.58
WELSPLSOL,-,740.00,13.96,7.94,13.94,1.08,-9.27,-3.18
YAARII,Business Support Services,739.54,84.45,-7.83,36.15,2.71,-37.49,-4.59
ELDEHSG,-,736.92,3747.20,13.59,54.77,2.31,16.51,2.39
TEXINFRA,Real Estate,735.25,57.70,66.42,7.68,1.00,-9.91,-0.44
SPTL,Plastic Products,734.75,11.55,-1.13,-,2.23,0.23,-
GOODLUCK,Iron & Steel,733.64,282.10,24.41,27.46,1.55,41.27,9.58
PARSVNATH,Real Estate,733.28,16.85,-1.72,4.69,2.61,38.70,-0.54
HLVLTD,"Hotels, Resorts & Cruise Lines",728.48,11.05,-20.28,-7.31,1.06,12.89,-42.98
FAZE3Q,-,727.99,299.35,29.20,41.38,1.34,61.57,6.12
KANORICHEM,Specialty Chemicals,726.62,166.30,50.08,19.67,1.42,26.67,13.72
KUANTUM,Paper Products,725.16,83.10,-56.92,-,-,25.05,-4.71
ARIHANTSUP,Real Estate,725.03,176.15,64.97,-,1.02,48.38,17.09
SHIVACEM,-,724.42,37.15,-32.97,37.64,1.79,26.62,-13.70
INDRAMEDCO,Hospitals & Diagnostic Centres,723.30,78.90,310.43,8.93,0.91,22.66,-4.11
MANORG,Commodity Chemicals,712.52,1004.30,8.39,101.21,-,-,11.05
VIJSOLX,-,710.30,2218.80,10.64,67.50,0.12,130.19,25.68
CENTUM,Electronic Equipments,709.13,550.35,41.32,0.55,0.90,9.41,14.80
STEELXIND,Iron & Steel,708.61,80.45,5.06,-,1.70,57.85,-3.72
KSE,-,705.14,2203.55,6.24,29.54,0.57,2.17,10.94
ORIENTPPR,Paper Products,704.46,33.20,-15.14,-12.51,1.42,-26.86,-24.82
PRECWIRE,Electrical Components & Equipments,701.10,303.15,17.84,22.40,1.44,-0.10,15.31
SHREEPUSHK,Specialty Chemicals,700.91,227.30,24.58,7.03,1.61,1.17,7.55
JAYTEX,-,691.02,18.05,-37.11,-,-,-,-42.72
TAKE,IT Services & Consulting,685.67,46.35,-1.52,-19.03,1.55,-47.71,-5.59
BHAGCHEM,Fertilizers & Agro Chemicals,685.63,825.10,29.40,43.20,-,-,15.94
ORIENTHOT,"Hotels, Resorts & Cruise Lines",683.14,38.25,-9.58,10.80,1.42,-6.88,-16.96
SNOWMAN,Logistics,681.72,40.80,11361.98,-4.51,1.20,15.96,1.11
STERTOOLS,Industrial Machinery,680.86,189.00,28.97,1.19,1.13,-30.95,-0.89
RADHEDE,-,675.45,268.25,-232.91,70.26,1.22,115.55,-44.30
NELCAST,Iron & Steel,673.39,77.40,74.49,9.15,1.04,-15.01,1.95
EXXARO,Building Products - Ceramics,673.35,150.50,44.21,-,-,-,15.08
LIKHITHA,Construction & Engineering,673.31,341.35,23.23,-,-,-,28.60
MOSCHIP,-,672.85,42.40,-73.54,2.08,0.80,34.59,80.96
VADILALIND,FMCG - Foods,670.34,932.60,145.09,13.21,1.02,13.24,1.28
HPBL,-,669.55,654.25,10.52,77.44,1.74,114.67,-21.45
DELPHIFX,Tour & Travel Services,666.39,598.85,16.34,29.11,1.13,14.55,-52.29
BEEKAY,-,666.19,349.30,8.19,20.94,1.18,-7.59,11.05
KOKUYOCMLN,Stationery,664.51,66.25,-45.48,-4.44,1.32,-28.30,-6.70
UTTAMSUGAR,Sugar,657.88,172.50,11.01,29.02,0.80,14.12,17.51
PITTIENG,Industrial Machinery,654.78,204.30,22.77,32.97,1.52,24.45,11.57
ENKEIWHEL,-,653.12,363.35,-20.83,15.26,1.17,2.25,-9.24
AMNPLST,-,650.06,118.15,19.93,33.85,1.22,32.90,11.21
LINCOLN,Pharmaceuticals,645.16,322.10,10.37,11.90,1.12,6.12,1.07
LICNETFSEN,Equity,643.96,637.05,-,18.05,0.82,17.92,-
EVERESTIND,Building Products - Prefab Structures,643.32,411.25,11.40,15.60,1.74,-19.95,-1.55
SAINTGOBAIN,-,643.21,70.60,56.27,11.27,1.73,-4.49,-5.11
WINDLAS,Pharmaceuticals,642.50,294.80,40.61,-,-,-,9.70
JAYAGROGN,Specialty Chemicals,640.80,213.60,13.35,0.85,1.28,-14.81,3.52
MUTHOOTCAP,Diversified Financials,637.84,387.80,12.39,14.45,1.53,-30.63,17.19
SHRIRAMEPC,Construction & Engineering,636.35,6.55,-3.55,-27.07,1.63,-1.07,-1.71
KAYA,Wellness Services,635.18,486.20,-16.71,-8.30,1.73,-18.61,-5.39
DPABHUSHAN,"Precious Metals, Jewellery & Watches",634.15,284.95,23.15,-,0.19,96.90,20.07
RELTD,-,630.88,47.00,117.70,0.00,-0.04,24.01,-8.63
RUSHIL,Building Products - Laminates,626.77,317.60,45.75,-10.03,2.15,3.97,2.78
DYNPRO,Commodity Chemicals,626.69,553.20,21.99,-,0.97,40.29,9.72
PLASTIBLEN,Specialty Chemicals,625.04,240.50,16.73,1.87,1.23,-6.60,2.15
BALAJITELE,Movies & TV Serials,623.97,61.70,-5.25,-5.39,1.31,-23.04,0.74
KHAICHEM,Fertilizers & Agro Chemicals,619.76,63.90,24.93,-,-,-,4.36
KAMDHENU,Iron & Steel,619.52,230.00,41.08,28.25,1.60,3.97,-5.67
STEELCAS,-,617.32,305.00,51.32,35.41,1.17,22.14,2.99
GOLDSHARE,Gold,616.79,42.60,-,10.17,0.01,14.39,-
MORGANITE,-,615.75,1099.55,-669.29,29.62,0.47,10.04,-0.31
HTMEDIA,Publishing,615.62,26.70,-8.69,-18.27,1.23,-8.12,-12.92
JAIBALAJI,Iron & Steel,615.21,55.70,-8.12,37.22,1.10,46.68,17.73
UNITECH,Real Estate,614.83,2.35,-0.39,-12.57,2.08,16.83,-13.86
GAYAPROJ,Construction & Engineering,614.01,32.80,14.25,-23.47,2.66,-47.37,17.48
NAVKARCORP,Logistics,612.61,40.70,38.43,-25.66,1.62,-19.75,12.71
RBL,Auto Parts,611.16,790.65,19.22,-1.41,1.32,3.27,0.19
UTINEXT50,Equity,609.36,45.69,-,-,0.90,11.21,-
SINTEX,Plastic Products,608.21,10.15,-0.47,-32.82,1.53,21.08,2.74
KRITIIND,Building Products - Pipes,607.64,122.50,16.55,29.26,1.63,45.39,4.14
NAHARPOLY,Textiles,606.71,246.75,9.69,36.35,1.37,57.39,3.18
IFBAGRO,Alcoholic Beverages,605.12,646.00,13.05,10.82,1.64,7.89,2.72
GLOSTERLTD,-,604.56,1104.90,14.65,-,1.16,-3.63,-
V2RETAIL,Retail - Apparel,604.05,175.65,-47.04,11.17,1.70,-18.35,10.51
BINDALAGRO,Real Estate,603.50,23.50,11.84,-0.46,1.29,10.85,-24.29
SEACOAST,-,602.14,178.85,54.20,-,-,-,264.10
TFCILTD,Specialized Finance,600.98,66.50,7.45,6.13,1.19,-30.98,6.84
RICOAUTO,Auto Parts,596.61,44.10,-42.07,-5.69,1.50,-30.82,7.83
HARITASEAT,Auto Parts,595.54,766.55,43.15,4.73,0.96,-12.34,5.14
RACLGEAR,-,594.98,551.85,25.34,81.14,1.16,70.06,11.95
VISHAL,Textiles,592.17,89.90,32.70,-,-,-35.54,28.76
STCINDIA,Commodities Trading,591.60,98.60,-11.73,-1.96,1.38,-6.90,-50.93
CHOICEIN,-,590.31,148.30,35.33,24.87,0.96,17.92,-1.30
HUIL,-,586.82,4067.00,-698.60,40.61,1.52,59.61,-4.56
